product_id,product_name,category_id,list_price,buying_price,organization_id,course_type,created_at,updated_at
1, Azure Fundamentals App,1,$50.00 ,$30.00 ,1,App,1/15/2023,10/1/2023
2, SQL Mastery App,1,$45.00 ,$27.00 ,1,App,2/10/2023,10/5/2023
3,Data Science E-book,2,$8.00 ,$4.50 ,2,E-book,3/5/2023,9/20/2023
4, Cloud Computing E-book,2,$9.00 ,$5.00 ,2,E-book,4/10/2023,10/7/2023
5, Advanced SQL Course,3,$75.00 ,$40.00 ,3,  Video Course,1/20/2023,10/1/2023
6,    Alteryx Training Course,3,$65.00 ,$38.00 ,3,Video Course,2/15/2023,10/10/2023
7,  Azure Solutions Software,4,$250.00 ,$180.00 ,4,Software,5/1/2023,9/25/2023
8,SQL Server Pro Software,4,$300.00 ,$210.00 ,4,Software,6/15/2023,10/9/2023
9,Data Analytics Course,3,$80.00 ,$50.00 ,3,  Practice Test,7/5/2023,10/10/2023
10,Power BI Essentials App,1,$35.00 ,$20.00 ,1,App,8/1/2023,9/28/2023
11, Python Programming Course ,3,$70.00 ,$45.00 ,2,Video Course,9/5/2023,10/1/2023
12, AWS Solutions Software ,4,$400.00 ,$300.00 ,1,Software,1/15/2023,10/4/2023
13, Machine Learning E-book ,2,$6.00 ,$3.50 ,2,E-book,6/20/2023,10/10/2023
14, Tableau Essentials Course ,3,$99.00 ,$60.00 ,3,Video Course,8/15/2023,10/10/2023
15, DevOps Mastery Software ,4,$500.00 ,$350.00 ,4,Software,7/20/2023,10/11/2023
1, Azure Fundamentals App,1,$50.00 ,$30.00 ,1,App,1/15/2023,10/1/2023
16,,1,$45.00 ,$27.00 ,1,App,2/10/2023,10/5/2023
17, Tableau Basic Course ,3,$45.00 ,$60.00 ,3,Video Course,8/15/2023,10/10/2023
, DevOps Basic Software ,4,$400.00 ,$300.00 ,4,Software,7/20/2023,10/11/2023
